custom_role,cert_key,cert_name,tier,url,page_title,meta_description
Software Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Software Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Software Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Backend Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Backend Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Backend Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Frontend Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Frontend Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Frontend Engineer,cloud_digital_leader,Cloud Digital Leader,foundational,https://cloud.google.com/learn/certification/cloud-digital-leader/,Cloud Digital Leader,"Get certified as a Cloud Digital Leader to validate your expertise of cloud fundamentals, Google Cloud products &amp; services, &amp; business leadership."
Full-Stack Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
Full-Stack Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Full-Stack Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Platform Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Platform Engineer,professional_cloud_devops_engineer,Professional Cloud DevOps Engineer,professional,https://cloud.google.com/learn/certification/cloud-devops-engineer,Professional Cloud DevOps Engineer,A Cloud DevOps Engineer is responsible for efficient development operations that balance service reliability &amp; delivery speed. Prepare for the exam.
Platform Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
DevOps Engineer,professional_cloud_devops_engineer,Professional Cloud DevOps Engineer,professional,https://cloud.google.com/learn/certification/cloud-devops-engineer,Professional Cloud DevOps Engineer,A Cloud DevOps Engineer is responsible for efficient development operations that balance service reliability &amp; delivery speed. Prepare for the exam.
DevOps Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
DevOps Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Site Reliability Engineer,professional_cloud_devops_engineer,Professional Cloud DevOps Engineer,professional,https://cloud.google.com/learn/certification/cloud-devops-engineer,Professional Cloud DevOps Engineer,A Cloud DevOps Engineer is responsible for efficient development operations that balance service reliability &amp; delivery speed. Prepare for the exam.
Site Reliability Engineer,professional_cloud_network_engineer,Professional Cloud Network Engineer,professional,https://cloud.google.com/learn/certification/cloud-network-engineer,Professional Cloud Network Engineer,"Professional Cloud Network Engineers implement &amp; manage networks. They leverage VPCs, hybrid connectivity &amp; more to build secure network architecture."
Site Reliability Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Cloud Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
Cloud Engineer,professional_cloud_architect,Professional Cloud Architect,professional,https://cloud.google.com/learn/certification/cloud-architect,Professional Cloud Architect,"A Google Certified Professional - Cloud Architect designs, develops, and manages solutions on Google Cloud. Prepare for the exam."
Cloud Engineer,professional_cloud_network_engineer,Professional Cloud Network Engineer,professional,https://cloud.google.com/learn/certification/cloud-network-engineer,Professional Cloud Network Engineer,"Professional Cloud Network Engineers implement &amp; manage networks. They leverage VPCs, hybrid connectivity &amp; more to build secure network architecture."
Security Engineer,professional_cloud_security_engineer,Professional Cloud Security Engineer,professional,https://cloud.google.com/learn/certification/cloud-security-engineer,Professional Cloud Security Engineer,Professional Cloud Security Engineers enable organizations to design &amp; implement a secure infrastructure. Prepare for the Google Cloud certification.
Security Engineer,professional_security_ops_engineer,Professional Security Operations Engineer,professional,https://cloud.google.com/learn/certification/security-operations-engineer,Professional Security Operations Engineer,"A Google Cloud Certified Professional Security Operations Engineer detects, monitors, analyzes, investigates, and responds to security threats against workloads, endpoints, and infrastructure."
Security Engineer,professional_cloud_network_engineer,Professional Cloud Network Engineer,professional,https://cloud.google.com/learn/certification/cloud-network-engineer,Professional Cloud Network Engineer,"Professional Cloud Network Engineers implement &amp; manage networks. They leverage VPCs, hybrid connectivity &amp; more to build secure network architecture."
QA Automation Engineer,professional_cloud_developer,Professional Cloud Developer,professional,https://cloud.google.com/learn/certification/cloud-developer,Professional Cloud Developer,"Professional Cloud Developers build scalable cloud-native applications and next generation databases, runtime environments, &amp; developer tools."
QA Automation Engineer,associate_cloud_engineer,Associate Cloud Engineer,associate,https://cloud.google.com/learn/certification/cloud-engineer/,Associate Cloud Engineer,"Associate Cloud Engineers deploy apps, monitor operations, &amp; manage enterprise solutions. Learn about the certification &amp; prepare for the exam."
QA Automation Engineer,cloud_digital_leader,Cloud Digital Leader,foundational,https://cloud.google.com/learn/certification/cloud-digital-leader/,Cloud Digital Leader,"Get certified as a Cloud Digital Leader to validate your expertise of cloud fundamentals, Google Cloud products &amp; services, &amp; business leadership."
Machine Learning Engineer,professional_ml_engineer,Professional Machine Learning Engineer,professional,https://cloud.google.com/learn/certification/machine-learning-engineer,Professional Machine Learning Engineer,"Professional Machine Learning Engineers design, build, &amp; productionize ML models to solve business challenges. Find out how to prepare for the exam."
Machine Learning Engineer,generative_ai_leader,Generative AI Leader,foundational,https://cloud.google.com/learn/certification/generative-ai-leader,Generative AI Leader,A Generative AI Leader is a visionary professional with comprehensive knowledge of how generative AI (gen AI) can transform businesses.
Machine Learning Engineer,professional_data_engineer,Professional Data Engineer,professional,https://cloud.google.com/learn/certification/data-engineer,Professional Data Engineer,A Google Certified Data Engineer creates data processing systems and machine learning models on Google Cloud. Learn how to prepare for the exam.
AI Engineer,generative_ai_leader,Generative AI Leader,foundational,https://cloud.google.com/learn/certification/generative-ai-leader,Generative AI Leader,A Generative AI Leader is a visionary professional with comprehensive knowledge of how generative AI (gen AI) can transform businesses.
AI Engineer,professional_ml_engineer,Professional Machine Learning Engineer,professional,https://cloud.google.com/learn/certification/machine-learning-engineer,Professional Machine Learning Engineer,"Professional Machine Learning Engineers design, build, &amp; productionize ML models to solve business challenges. Find out how to prepare for the exam."
AI Engineer,cloud_digital_leader,Cloud Digital Leader,foundational,https://cloud.google.com/learn/certification/cloud-digital-leader/,Cloud Digital Leader,"Get certified as a Cloud Digital Leader to validate your expertise of cloud fundamentals, Google Cloud products &amp; services, &amp; business leadership."
MLOps Engineer,professional_ml_engineer,Professional Machine Learning Engineer,professional,https://cloud.google.com/learn/certification/machine-learning-engineer,Professional Machine Learning Engineer,"Professional Machine Learning Engineers design, build, &amp; productionize ML models to solve business challenges. Find out how to prepare for the exam."
MLOps Engineer,professional_cloud_devops_engineer,Professional Cloud DevOps Engineer,professional,https://cloud.google.com/learn/certification/cloud-devops-engineer,Professional Cloud DevOps Engineer,A Cloud DevOps Engineer is responsible for efficient development operations that balance service reliability &amp; delivery speed. Prepare for the exam.
MLOps Engineer,professional_data_engineer,Professional Data Engineer,professional,https://cloud.google.com/learn/certification/data-engineer,Professional Data Engineer,A Google Certified Data Engineer creates data processing systems and machine learning models on Google Cloud. Learn how to prepare for the exam.
Data Engineer,professional_data_engineer,Professional Data Engineer,professional,https://cloud.google.com/learn/certification/data-engineer,Professional Data Engineer,A Google Certified Data Engineer creates data processing systems and machine learning models on Google Cloud. Learn how to prepare for the exam.
Data Engineer,professional_cloud_database_engineer,Professional Cloud Database Engineer,professional,https://cloud.google.com/learn/certification/cloud-database-engineer,Professional Cloud Database Engineer,The Professional Cloud Database Engineer translates business and technical requirements into scalable and cost-effective database solutions.
Data Engineer,associate_data_practitioner,Associate Data Practitioner,associate,https://cloud.google.com/learn/certification/data-practitioner,Associate Data Practitioner,Associate Data Practitioner
Data Scientist,professional_data_engineer,Professional Data Engineer,professional,https://cloud.google.com/learn/certification/data-engineer,Professional Data Engineer,A Google Certified Data Engineer creates data processing systems and machine learning models on Google Cloud. Learn how to prepare for the exam.
Data Scientist,associate_data_practitioner,Associate Data Practitioner,associate,https://cloud.google.com/learn/certification/data-practitioner,Associate Data Practitioner,Associate Data Practitioner
Data Scientist,professional_ml_engineer,Professional Machine Learning Engineer,professional,https://cloud.google.com/learn/certification/machine-learning-engineer,Professional Machine Learning Engineer,"Professional Machine Learning Engineers design, build, &amp; productionize ML models to solve business challenges. Find out how to prepare for the exam."
